player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Glenn Phillips,c,23,26,36,0,1,88.46
Mark Chapman,c,6,8,11,0,0,75
Mitchell Santner,b,1,2,3,0,0,50
Matt Henry,b,0,1,1,0,0,0
Lockie Ferguson,run,1,5,12,0,0,20
Trent Boult,not,0,1,1,0,0,0
David Warner,c,81,65,77,5,6,124.61
Travis Head,b,109,67,94,10,7,162.68
Mitchell Marsh,b,36,51,65,2,0,70.58
Steven Smith,c,18,17,19,2,0,105.88
Marnus Labuschagne,c,18,26,36,2,0,69.23
Glenn Maxwell,c,41,24,37,5,2,170.83
Josh Inglis,c,38,28,48,4,1,135.71
Pat Cummins,lbw,37,14,23,2,4,264.28
Mitchell Starc,c,1,3,7,0,0,33.33
Adam Zampa,b,0,3,2,0,0,0
Josh Hazlewood,not,0,0,1,0,0,0
Vikramjit Singh,c,2,16,28,0,0,12.5
Max O'Dowd,c,18,25,33,4,0,72
Colin Ackermann,b,12,25,40,1,0,48
Bas de Leede,lbw,2,7,16,0,0,28.57
Sybrand Engelbrecht,c,19,37,41,1,1,51.35
Teja Nidamanuru,lbw,20,25,56,3,0,80
Scott Edwards,not,78,69,102,10,1,113.04
Logan van Beek,st,10,27,22,1,0,37.03
Roelof van der Merwe,c,29,19,30,3,1,152.63
Aryan Dutt,not,23,9,14,0,3,255.55
Quinton de Kock,c,4,2,3,1,0,200
Reeza Hendricks,b,85,75,111,9,3,113.33
Rassie van der Dussen,c,60,61,86,8,0,98.36
Aiden Markram,c,42,44,63,4,0,95.45
Heinrich Klaasen,b,109,67,119,12,4,162.68
David Miller,c,5,6,7,1,0,83.33
Marco Jansen,not,75,42,72,3,6,178.57
Gerald Coetzee,c,3,3,2,0,0,100
Keshav Maharaj,not,1,1,1,0,0,100
Quinton de Kock,c,3,14,27,0,0,21.42
Temba Bavuma,c,0,4,5,0,0,0
Rassie van der Dussen,c,6,31,53,0,0,19.35
Aiden Markram,c,10,20,24,2,0,50
Heinrich Klaasen,b,47,48,76,4,2,97.91
David Miller,c,101,116,138,8,5,87.06
Marco Jansen,lbw,0,1,1,0,0,0
Gerald Coetzee,c,19,39,42,2,0,48.71
Keshav Maharaj,c,4,8,13,0,0,50
Kagiso Rabada,c,10,12,18,0,1,83.33
Tabraiz Shamsi,not,1,5,11,0,0,20
Jonny Bairstow,c,33,35,57,4,1,94.28
Dawid Malan,c,14,24,36,2,0,58.33
Joe Root,b,77,86,140,4,1,89.53
Harry Brook,c,25,16,20,4,1,156.25
Moeen Ali,b,11,17,20,1,0,64.7
Jos Buttler,c,43,42,48,2,2,102.38
Liam Livingstone,c,20,22,23,3,0,90.9
Sam Curran,c,14,19,30,0,0,73.68
Chris Woakes,c,11,12,15,1,0,91.66
Adil Rashid,not,15,13,23,0,1,115.38
Mark Wood,not,13,14,19,0,0,92.85
Pathum Nissanka,c,61,67,103,8,0,91.04
Kusal Perera,b,78,82,123,12,0,95.12
Kusal Mendis,c,9,13,27,0,0,69.23
Sadeera Samarawickrama,lbw,8,8,15,1,0,100
Charith Asalanka,c,25,39,75,0,1,64.1
Dhananjaya de Silva,b,7,13,13,1,0,53.84
Dunith Wellalage,run,2,9,9,0,0,22.22
