player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Trent Boult,not,2,2,5,0,0,100
Lockie Ferguson,c,6,3,2,0,1,200
Rahmanullah Gurbaz,c,10,11,24,2,0,90.9
Ibrahim Zadran,b,20,34,44,2,0,58.82
Rahmat Shah,c,52,54,74,8,0,96.29
Hashmatullah Shahidi,not,56,64,92,6,0,87.5
Azmatullah Omarzai,not,31,28,38,3,0,110.71
Tanzid Hasan,c,9,5,11,2,0,180
Litton Das,lbw,23,22,36,2,2,104.54
Najmul Hossain Shanto,b,90,101,163,12,0,89.1
Shakib Al Hasan,c,82,65,128,12,2,126.15
Mahmudullah,b,22,23,37,3,1,95.65
Mushfiqur Rahim,b,10,13,21,1,0,76.92
Towhid Hridoy,not,15,7,22,0,2,214.28
Mehidy Hasan Miraz,c,3,5,9,0,0,60
Tanzim Hasan Sakib,not,5,6,6,1,0,83.33
Rohit Sharma,b,46,40,44,4,4,115
Shubman Gill,c,26,31,53,5,0,83.87
Virat Kohli,c,95,104,154,8,2,91.34
Shreyas Iyer,c,33,29,32,6,0,113.79
KL Rahul,lbw,27,35,43,3,0,77.14
Suryakumar Yadav,run,2,4,8,0,0,50
Ravindra Jadeja,not,39,44,63,3,1,88.63
Mohammed Shami,not,1,1,2,0,0,100
Devon Conway,c,28,17,35,6,0,164.7
Will Young,c,32,37,44,4,1,86.48
Rachin Ravindra,c,116,89,137,9,5,130.33
Daryl Mitchell,c,54,51,59,6,1,105.88
Tom Latham,c,21,22,29,2,0,95.45
Glenn Phillips,c,12,16,21,1,0,75
James Neesham,run,58,39,64,3,3,148.71
Mitchell Santner,c,17,12,13,1,1,141.66
Matt Henry,c,9,8,14,1,0,112.5
Trent Boult,not,10,8,21,0,1,125
Lockie Ferguson,not,0,1,1,0,0,0
Temba Bavuma,b,16,31,35,2,1,51.61
Quinton de Kock,c,20,22,28,3,0,90.9
Rassie van der Dussen,c,4,7,16,0,0,57.14
Aiden Markram,b,1,3,4,0,0,33.33
Heinrich Klaasen,c,28,28,36,4,0,100
David Miller,b,43,52,81,4,1,82.69
Marco Jansen,b,9,25,22,0,0,36
Gerald Coetzee,c,22,23,33,2,1,95.65
Keshav Maharaj,c,40,37,54,5,1,108.1
Kagiso Rabada,c,9,6,9,0,1,150
Lungi Ngidi,not,7,24,35,0,0,29.16
Jonny Bairstow,c,10,12,13,1,1,83.33
Dawid Malan,c,6,11,30,1,0,54.54
Joe Root,c,2,6,9,0,0,33.33
Ben Stokes,c,5,8,20,1,0,62.5
Harry Brook,lbw,17,25,33,2,1,68
Jos Buttler,c,15,7,14,2,1,214.28
David Willey,c,12,12,24,1,1,100
Adil Rashid,c,10,14,14,1,0,71.42
Gus Atkinson,b,35,21,31,7,0,166.66
Mark Wood,not,43,17,25,2,5,252.94
Travis Head,b,62,48,62,9,2,129.16
David Warner,b,29,18,29,1,4,161.11
Mitchell Marsh,c,0,6,5,0,0,0
Steven Smith,c,30,62,102,2,0,48.38
Marnus Labuschagne,lbw,18,31,28,2,0,58.06
Glenn Maxwell,b,1,5,8,0,0,20
Josh Inglis,b,28,49,66,3,0,57.14
Mitchell Starc,not,16,38,61,2,0,42.1
Pat Cummins,not,14,29,32,2,0,48.27
Devon Conway,not,152,121,147,19,3,125.61
Will Young,c,0,1,5,0,0,0
Rachin Ravindra,not,123,96,141,11,5,128.12
Mitchell Marsh,run,52,51,67,9,0,101.96
David Warner,lbw,11,6,16,0,1,183.33
Steven Smith,lbw,0,5,4,0,0,0
Marnus Labuschagne,c,40,60,100,2,0,66.66
Josh Inglis,c,58,59,75,5,1,98.3
Glenn Maxwell,not,31,21,30,4,2,147.61
Marcus Stoinis,not,20,10,10,2,1,200
Tanzid Hasan,run,5,13,19,1,0,38.46
Litton Das,b,13,18,29,2,0,72.22
Mehidy Hasan Miraz,c,57,73,89,5,0,78.08
Najmul Hossain Shanto,not,59,83,112,3,1,71.08
Shakib Al Hasan,c,14,19,24,2,0,73.68
Mushfiqur Rahim,not,2,3,6,0,0,66.66
Rohit Sharma,lbw,0,6,10,0,0,0
Ishan Kishan,c,0,1,3,0,0,0
Virat Kohli,c,85,116,171,6,0,73.27
Shreyas Iyer,c,0,3,2,0,0,0
KL Rahul,not,97,115,180,8,2,84.34
Hardik Pandya,not,11,8,17,0,1,137.5
Jonny Bairstow,c,0,1,1,0,0,0
Dawid Malan,c,50,64,99,4,1,78.12
Joe Root,c,13,17,23,2,0,76.47
Ben Stokes,c,64,90,128,2,3,71.11
Jos Buttler,c,1,7,10,0,0,14.28
Moeen Ali,c,42,43,61,6,0,97.67
Liam Livingstone,c,2,5,6,0,0,40
Chris Woakes,c,32,33,52,4,1,96.96
David Willey,c,15,14,19,3,0,107.14
Adil Rashid,c,20,15,23,1,1,133.33
Mark Wood,not,0,0,1,0,0,0
Travis Head,b,10,11,11,2,0,90.9
David Warner,c,53,61,90,6,0,86.88
Mitchell Marsh,not,177,132,177,17,9,134.09
Steven Smith,not,63,64,99,4,1,98.43
Litton Das,c,76,66,99,7,2,115.15
Tanzid Hasan,c,1,2,7,0,0,50
Najmul Hossain Shanto,c,0,1,1,0,0,0
Shakib Al Hasan,b,1,9,16,0,0,11.11
Mehidy Hasan Miraz,c,8,7,12,1,0,114.28
Mushfiqur Rahim,c,51,64,93,4,0,79.68
Towhid Hridoy,c,39,61,70,2,0,63.93
Mahedi Hasan,b,14,32,39,1,0,43.75
Taskin Ahmed,b,15,25,35,0,1,60
Shoriful Islam,b,12,14,17,2,0,85.71
Mustafizur Rahman,not,3,9,12,0,0,33.33
Jonny Bairstow,lbw,2,4,5,0,0,50
Dawid Malan,c,32,39,61,4,0,82.05
Joe Root,b,11,17,23,2,0,64.7
Harry Brook,c,66,61,123,7,1,108.19
Jos Buttler,b,9,18,21,1,0,50
Liam Livingstone,lbw,10,14,15,1,0,71.42
Sam Curran,c,10,23,22,0,0,43.47
Chris Woakes,b,9,26,21,1,0,34.61
Adil Rashid,c,20,13,24,2,0,153.84
Mark Wood,b,18,22,26,3,0,81.81
Reece Topley,not,15,7,8,3,0,214.28
Pathum Nissanka,not,77,83,110,7,2,92.77
Kusal Perera,c,4,5,8,1,0,80
Kusal Mendis,c,11,12,15,2,0,91.66
Sadeera Samarawickrama,not,65,54,84,7,1,120.37
Vikramjit Singh,b,12,20,22,1,0,60
Max O'Dowd,lbw,16,31,40,2,0,51.61
Colin Ackermann,c,69,73,98,5,0,94.52
Bas de Leede,c,18,25,21,3,0,72
Teja Nidamanuru,run,21,26,28,2,1,80.76
Scott Edwards,c,30,27,37,2,1,111.11
Sybrand Engelbrecht,c,29,34,55,3,0,85.29
Roelof van der Merwe,c,1,6,9,0,0,16.66
Ryan Klein,lbw,8,15,23,0,0,53.33
Aryan Dutt,b,11,20,19,0,1,55
Paul van Meekeren,not,4,3,5,1,0,133.33
David Warner,b,18,29,46,3,0,62.06
Travis Head,c,0,2,5,0,0,0
Mitchell Marsh,lbw,24,11,22,2,2,218.18
Marnus Labuschagne,run,14,28,53,2,0,50
Josh Inglis,c,0,1,1,0,0,0
Glenn Maxwell,not,201,128,181,21,10,157.03
Marcus Stoinis,lbw,6,7,13,1,0,85.71
Mitchell Starc,c,3,7,8,0,0,42.85
Pat Cummins,not,12,68,122,1,0,17.64
Temba Bavuma,c,28,27,49,4,1,103.7
Quinton de Kock,c,24,14,19,5,0,171.42
Rassie van der Dussen,lbw,21,39,71,0,0,53.84
Aiden Markram,c,91,93,151,7,3,97.84
Heinrich Klaasen,c,12,10,12,0,1,120
David Miller,c,29,33,55,2,2,87.87
Marco Jansen,c,20,14,18,2,1,142.85
Gerald Coetzee,c,10,13,23,0,0,76.92
Keshav Maharaj,not,7,21,44,1,0,33.33
Lungi Ngidi,c,4,14,24,0,0,28.57
Tabraiz Shamsi,not,4,6,14,0,0,66.66
Devon Conway,c,2,6,13,0,0,33.33
Will Young,c,33,37,50,5,0,89.18
Rachin Ravindra,c,9,16,28,1,0,56.25
Daryl Mitchell,c,24,30,40,4,0,80
Tom Latham,c,4,15,18,0,0,26.66
Glenn Phillips,c,60,50,87,4,4,120
Mitchell Santner,b,7,18,14,1,0,38.88
Tim Southee,lbw,7,11,11,1,0,63.63
James Neesham,b,0,8,6,0,0,0
Trent Boult,c,9,14,17,1,0,64.28
Matt Henry,not,0,9,20,0,0,0
Pathum Nissanka,b,0,3,6,0,0,0
Kusal Perera,b,7,15,42,1,0,46.66
Kusal Mendis,c,76,42,55,4,8,180.95
Sadeera Samarawickrama,c,23,19,22,3,1,121.05
Charith Asalanka,c,79,65,83,8,4,121.53
Dhananjaya de Silva,c,11,14,28,1,0,78.57
Dasun Shanaka,b,68,62,86,6,3,109.67
Dunith Wellalage,c,0,1,2,0,0,0
Kasun Rajitha,c,33,31,52,4,1,106.45
Matheesha Pathirana,b,5,16,25,1,0,31.25
Dilshan Madushanka,not,4,2,4,1,0,200
Vikramjit Singh,run,25,25,28,6,0,100
Max O'Dowd,b,6,9,21,1,0,66.66
Colin Ackermann,lbw,10,11,21,2,0,90.9
Sybrand Engelbrecht,c,11,21,36,1,0,52.38
Bas de Leede,lbw,4,7,7,1,0,57.14
Scott Edwards,not,12,22,53,0,0,54.54
Teja Nidamanuru,c,14,18,19,2,0,77.77
Logan van Beek,c,0,3,3,0,0,0
Roelof van der Merwe,lbw,0,1,1,0,0,0
Aryan Dutt,lbw,1,8,9,0,0,12.5
Paul van Meekeren,st,0,1,2,0,0,0
Rohit Sharma,c,48,40,51,7,2,120
Shubman Gill,c,53,55,80,5,2,96.36
Virat Kohli,not,103,97,113,6,4,106.18
Shreyas Iyer,c,19,25,38,2,0,76
KL Rahul,not,34,34,44,3,1,100
Mitchell Marsh,c,7,15,27,0,0,46.66
David Warner,c,13,27,33,2,0,48.14
Steven Smith,lbw,19,16,20,4,0,118.75
Marnus Labuschagne,c,46,74,125,3,0,62.16
Josh Inglis,b,5,4,5,1,0,125
Glenn Maxwell,c,3,17,17,0,0,17.64
Marcus Stoinis,c,5,4,6,1,0,125
Mitchell Starc,c,27,51,69,3,0,52.94
Pat Cummins,c,22,21,29,4,0,104.76
Adam Zampa,not,11,16,25,1,0,68.75
Josh Hazlewood,c,2,2,1,0,0,100
Rahmanullah Gurbaz,b,11,21,24,0,1,52.38
Ibrahim Zadran,c,14,15,27,2,0,93.33
Rahmat Shah,c,36,62,86,1,0,58.06
Hashmatullah Shahidi,c,8,29,30,1,0,27.58
Azmatullah Omarzai,c,27,32,39,2,0,84.37
Ikram Alikhil,not,19,21,42,3,0,90.47
Mohammad Nabi,b,7,9,10,1,0,77.77
Rashid Khan,c,8,13,10,0,1,61.53
Mujeeb Ur Rahman,c,4,3,2,1,0,133.33
Naveen-ul-Haq,c,0,1,1,0,0,0
Fazalhaq Farooqi,c,0,2,1,0,0,0
Rahmanullah Gurbaz,b,0,4,2,0,0,0
Ibrahim Zadran,c,39,57,73,4,1,68.42
Rahmat Shah,c,62,74,121,7,0,83.78
Hashmatullah Shahidi,not,58,74,132,2,1,78.37
Azmatullah Omarzai,not,73,63,80,6,3,115.87
Quinton de Kock,b,5,10,9,1,0,50
Temba Bavuma,b,11,19,39,1,0,57.89
Rassie van der Dussen,lbw,13,32,55,1,0,40.62
Aiden Markram,c,9,6,6,2,0,150
Heinrich Klaasen,lbw,1,11,12,0,0,9.09
David Miller,b,11,11,17,2,0,100
Marco Jansen,c,14,30,45,1,0,46.66
Keshav Maharaj,b,7,11,7,1,0,63.63
Kagiso Rabada,c,6,26,26,0,0,23.07
Lungi Ngidi,b,0,3,7,0,0,0
Tabraiz Shamsi,not,4,4,3,1,0,100
Abdullah Shafique,c,64,61,93,7,2,104.91
Imam-ul-Haq,c,70,71,107,10,0,98.59
Babar Azam,c,18,14,27,3,0,128.57
Mohammad Rizwan,lbw,46,40,84,5,0,115
Saud Shakeel,c,30,31,37,5,0,96.77
Iftikhar Ahmed,lbw,26,20,22,0,3,130
Mohammad Nawaz,st,14,16,19,0,1,87.5
Usama Mir,c,0,3,4,0,0,0
Shaheen Shah Afridi,c,10,8,17,2,0,125
Hasan Ali,c,8,8,7,2,0,100
Haris Rauf,not,0,1,3,0,0,0
Wesley Barresi,run,37,62,77,3,1,59.67
Max O'Dowd,c,5,11,20,1,0,45.45
Colin Ackermann,c,0,2,4,0,0,0
Sybrand Engelbrecht,c,33,49,73,3,1,67.34
Scott Edwards,c,38,42,67,3,1,90.47
Bas de Leede,b,10,12,11,2,0,83.33
Teja Nidamanuru,not,41,34,47,2,3,120.58
Logan van Beek,c,2,2,3,0,0,100
Roelof van der Merwe,c,0,4,3,0,0,0
Aryan Dutt,b,1,3,4,0,0,33.33
Paul van Meekeren,st,4,3,3,1,0,133.33
Abdullah Shafique,lbw,68,69,94,9,2,98.55
Fakhar Zaman,c,81,74,126,3,7,109.45
Babar Azam,c,9,16,20,1,0,56.25
Mohammad Rizwan,not,26,21,27,4,0,123.8
Iftikhar Ahmed,not,17,15,17,2,0,113.33
Abdullah Shafique,c,113,103,150,10,3,109.7
Imam-ul-Haq,c,12,12,15,1,0,100
Babar Azam,c,10,15,17,1,0,66.66
Mohammad Rizwan,not,131,121,193,8,3,108.26
Saud Shakeel,c,31,30,57,2,0,103.33
Iftikhar Ahmed,not,22,10,18,4,0,220
Wesley Barresi,c,4,5,8,0,0,80
Max O'Dowd,b,30,42,68,3,1,71.42
Colin Ackermann,lbw,35,32,46,6,0,109.37
Sybrand Engelbrecht,b,45,80,87,4,0,56.25
Scott Edwards,c,17,30,27,1,0,56.66
Bas de Leede,b,12,21,23,1,0,57.14
Teja Nidamanuru,c,54,39,65,1,6,138.46
Logan van Beek,b,16,15,20,2,0,106.66
Roelof van der Merwe,c,16,8,5,1,2,200
Aryan Dutt,b,5,11,9,0,0,45.45
Paul van Meekeren,not,3,4,7,0,0,75
Abdullah Shafique,c,4,9,8,1,0,44.44
Fakhar Zaman,not,126,81,103,8,11,155.55
Babar Azam,not,66,63,93,6,2,104.76
Rohit Sharma,b,131,84,111,16,5,155.95
Ishan Kishan,c,47,47,78,5,2,100
Virat Kohli,not,55,56,64,6,0,98.21
Shreyas Iyer,not,25,23,31,1,1,108.69
Rahmanullah Gurbaz,c,65,53,91,9,1,122.64
Ibrahim Zadran,c,87,113,146,10,0,76.99
Rahmat Shah,not,77,84,129,5,2,91.66
Hashmatullah Shahidi,not,48,45,74,4,0,106.66
Quinton de Kock,lbw,41,47,58,2,3,87.23
Temba Bavuma,c,23,28,49,3,0,82.14
Rassie van der Dussen,not,76,95,141,6,1,80
Aiden Markram,c,25,32,32,1,1,78.12
Heinrich Klaasen,b,10,13,15,1,0,76.92
David Miller,c,24,33,35,1,1,72.72
Andile Phehlukwayo,not,39,37,46,1,3,105.4
Litton Das,c,3,12,20,0,0,25
Tanzid Hasan,c,15,16,25,3,0,93.75
Mehidy Hasan Miraz,c,35,40,51,5,1,87.5
Najmul Hossain Shanto,c,9,18,27,2,0,50
Shakib Al Hasan,c,5,14,14,0,0,35.71
Mushfiqur Rahim,b,1,5,9,0,0,20
Mahmudullah,c,20,41,70,2,0,48.78
Mahedi Hasan,run,17,38,51,1,0,44.73
Taskin Ahmed,c,11,35,49,1,0,31.42
Mustafizur Rahman,b,20,35,34,2,1,57.14
Shoriful Islam,not,0,0,1,0,0,0
Abdullah Shafique,lbw,0,2,2,0,0,0
Fakhar Zaman,c,1,9,13,0,0,11.11
Babar Azam,c,38,45,58,6,0,84.44
Mohammad Rizwan,b,36,51,78,2,0,70.58
Saud Shakeel,b,29,37,52,4,0,78.37
Agha Salman,c,51,45,53,6,1,113.33
Iftikhar Ahmed,c,3,5,8,0,0,60
Shadab Khan,b,4,7,4,1,0,57.14
Shaheen Shah Afridi,lbw,25,23,23,3,1,108.69
Mohammad Wasim,not,16,14,33,2,1,114.28
Haris Rauf,c,35,23,27,3,3,152.17
